Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",I. Economic interest,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",I. Economic interest,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",I. Economic interest,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",I. Economic interest,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",I. Economic interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",I. Economic interest,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",I. Economic interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",I. Economic interest,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
"GORTAZAR SCHMIDT, Christian",I. Economic interest,,SABIOtec spin-off,"Past shareholder (15%) in the University of Castilla - La Mancha spin- off company, SABIOtec.",2015-04,2015-05,2015-05-19,AHAW_doi_008.pdf
"MICHEL, Virginie",I. Economic interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_009.pdf
"MIRANDA, Miguel Angel",I. Economic interest,,,NO INTEREST,,,2015-11-29,AHAW_doi_010.pdf
"MORE, Simon",I. Economic interest,,,NO INTEREST,,,2015-07-03,AHAW_doi_011.pdf
"NIELSEN, Søren Saxmose",I. Economic interest,,,NO INTEREST,,,2015-04-23,AHAW_doi_012.pdf
"RAJ, Mohan",I. Economic interest,,,NO INTEREST,,,2015-10-06,AHAW_doi_013.pdf
"SIHVONEN, Liisa",I. Economic interest,,,NO INTEREST,,,2015-04-22,AHAW_doi_014.pdf
"SPOOLDER, Hans",I. Economic interest,,,NO INTEREST,,,2015-10-09,AHAW_doi_015.pdf
"STEGEMAN, Jan Arend",I. Economic interest,,,NO INTEREST,,,2015-10-06,AHAW_doi_016.pdf
"THULKE, Hans-Hermann",I. Economic interest,,,NO INTEREST,,,2015-11-27,AHAW_doi_017.pdf
"VELARDE, Antonio",I. Economic interest,,,NO INTEREST,,,2015-10-07,AHAW_doi_018.pdf
"WILLEBERG, Preben",I. Economic interest,,,NO INTEREST,,,2015-07-01,AHAW_doi_019.pdf
"WINCKLER, Christoph",I. Economic interest,,,NO INTEREST,,,2015-10-09,AHAW_doi_020.pdf
"AGUILAR, Fernando",I. Economic interest,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"CREBELLI, Riccardo",I. Economic interest,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"DI DOMENICO, Alessandro",I. Economic interest,,,NO INTEREST,,,2015-11-12,ANS_doi_002.pdf
"DUSEMUND, Birgit",I. Economic interest,,,NO INTEREST,,,2015-10-09,ANS_doi_003.pdf
"FRUTOS FERNANDEZ, Maria Jose",I. Economic interest,,,NO INTEREST,,,2015-11-10,ANS_doi_004.pdf
"GALTIER, Pierre",I. Economic interest,,,NO INTEREST,,,2015-10-11,ANS_doi_005.pdf
"GOTT, David",I. Economic interest,,,NO INTEREST,,,2014-12-19,ANS_doi_006.pdf
"GUNDERT-REMY, Ursula",I. Economic interest,,,NO INTEREST,,,2015-10-08,ANS_doi_007.pdf
"LAMBRÉ, Claude",I. Economic interest,,,NO INTEREST,,,2015-10-13,ANS_doi_008.pdf
