Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",II. Member of a managing entity or equivalent structure,,"Centre for Veterinary Epidemiology and Risk Analysis, UCD (CVERA), Centre for Veterinary Epidemiology and Risk Analysis, Dublin, IRELAND","CVERA is an Irish national resoource centre, providing policy advice and conducting epidemiological research on a w wide range of animal health issues. In addition CVERA provides general support to government, industry and the veterinary profession (pre and post- graduation) on animal health issues.",1991-01,now,2015-09-14,AHAW_doi_007.pdf
"GORTAZAR SCHMIDT, Christian",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-19,AHAW_doi_008.pdf
"MICHEL, Virginie",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-27,AHAW_doi_009.pdf
"MIRANDA, Miguel Angel",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-29,AHAW_doi_010.pdf
"MORE, Simon",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-03,AHAW_doi_011.pdf
"NIELSEN, Søren Saxmose",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-23,AHAW_doi_012.pdf
"RAJ, Mohan",II. Member of a managing entity or equivalent structure,,Journal "British Poultry Science",Member of the Council of Management - an unpaid honorary position.,2013-06,now,2015-10-06,AHAW_doi_013.pdf
"SIHVONEN, Liisa",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-22,AHAW_doi_014.pdf
