Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",III. Member of a scientific advisory entity,,"Farm Animal Welfare Committee (FAWC), London, UNITED KINGDOM","FAWC advises the Department for Environment, Food and Rural Affairs (Defra) and the devolved administrations in Scotland and Wales on the welfare of farmed animals.",2013-01,now,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",III. Member of a scientific advisory entity,,Consiglio Superiore della Sanità,Consultancy on Risk Assessment Fields to Ministry of Health.,2007-06,2012-06,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",III. Member of a scientific advisory entity,,"EC, DG SANTE, GF- TADs","Community Veterinary Emergency Team, ASF missions in Baltic States, Poland, Belarus, Russia, Ukrain",2014-01,now,2015-04-27,AHAW_doi_004.pdf
"DEPNER, Klaus",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Enzootic bovine leukosis (AHAW),2014-01,2015-02,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,Royal Society for the Prevention of Cruelty to Animals,The Society is a national animal welfare charity. It operates the Freedom Food scheme for labelling meat produced in high welfare systems. I sit on the Technical Committee which provides advice on appropriate technical standards for the scheme in relation to pigs. I also act as independent chair for the committee on technical standards for turkeys. This involves no payment except travel expenses. I have no voting or veto rights.,1994-01,2014-12,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,UK Farm Animal Welfare Committee,"This Committee provides advice to Government on farm animal welfare, and produces reports and opinions on farm animal welfare topics. I am a member of the committee and have chaired one of its working groups on Economics and animal welfare. There are no voting or veto rights.",2006-01,2012-12,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,EFSA,"I was a member of the AHAW working groups reporting on (i) Welfare of fattening pigs, (ii) Tail docking and tail biting, (iii) Pig welfare indicators",2006-10,2011-11,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,Tubney Charitable Trust,"I act as independent chair for the Project Board and Advisory Group for the AssureWel research project on welfare outcome assessment, funded by the Tubney Charitable Trust through a contract with Bristol University. I receive no personal payment for this, but my University is reimbursed for my time and travel expenses. I have no voting or veto rights.",2010-06,2015-02,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Member - Pig welfare indicators (AHAW),2011-05,2012-02,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Member - AHAW Network - Animal Based Measures (AHAW),2012-06,2012-07,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Member - Welfare of sheep (AHAW),2013-09,2014-12,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Chair - Multifactorial Approach for Pig welfare assessment (AHAW),2013-10,2014-05,2015-10-08,AHAW_doi_005.pdf
"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"Red Tractor, London, UNITED KINGDOM",The Red Tractor organisation sets the standards for the English national farm assurance scheme. I am a member of the Technical Advisory Committee for pigs which provides scientific information and advice on this species to the main Standards Committee.,2013-11,now,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",III. Member of a scientific advisory entity,,AFSSA (French Food Safety Agency),Animal Health Expert Committee (member),2000-09,now,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",III. Member of a scientific advisory entity,,"Task Force for monitoring disease eradication in the Member States, Commission of the European Communities",Bovine Tuberculosis - sub-group of the Task Force,2000-03,now,2015-09-14,AHAW_doi_007.pdf
"GOOD, Margaret",III. Member of a scientific advisory entity,,"Animal Health Ireland (AHI), IRELAND",Member of the Technical Working Group for Johne's Disease/Paratuberculosis - Advising AHI on development of an on- farmvoluntary JD control programme,2013-01,now,2015-09-14,AHAW_doi_007.pdf
"GORTAZAR SCHMIDT, Christian",III. Member of a scientific advisory entity,,ARTEMIS Research Institute for Wildlife Health in Europe,NON PROFIT ORGANIZATION. The board that was set up for Artemis Wildlife Health Research Foundation is no longer active.,2011-01,2015-05,2015-05-19,AHAW_doi_008.pdf
"MICHEL, Virginie",III. Member of a scientific advisory entity,,French Agency for Food Safety,"Member of “Specialised expert comity (CES) on animal health ” SANT. The Anses functioning is very similar to EFSA. As an expert, I have to give independent opinion on governmental questions on different topics on animal health . The experts are voting and drafting opinions opinions are used by french ministry of agriculture Panel is adressing animal health opinions on the basis of risk assessment",2006-07,now,2015-04-27,AHAW_doi_009.pdf
