Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",IV. Employment,,"Vetagro Sup, Institut d'Enseignement Supérieur et de recherche en Alimentation, Santé Animale, Sciences Agronomiques et de l'Environnement (Vetagro Sup), FRANCE, Marcy L'Etoile","PI Scientific Researcher in: - Mathematical Epidemiology, Vector-Borne and Infections Diseases - Modeling the exposure to chemical substances, and toxicology - Sanitary risk assessment - Modeling in Biophysics",2001-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",IV. Employment,,"Université Joseph Fourier - Grenoble 1 (UJF), Grenoble university, Grenoble, FRANCE","Teaching at University Joseph Fourier - Grenoble 1, France Master 2: Research Methods in Health - Environment Toxicology and EcoToxicology (RMHETE) - Since 2004: Head of section: Modelling in Health - Environment - Since 2011: co - Head of the Research Master 2 RMHETE",2004-01,now,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",IV. Employment,,"University of Bristol, UNITED KINGDOM",Education and research institute. Senior Lecturer and Senior Researcher No risk management responsibility other than day to day risk assessment for staff employed on projects I manage Employed by University of Bristol,1998-01,now,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",IV. Employment,,"National Veterinary Institute, Technical university of Denmark","-diagnosis and surveillance of exotic and emerging/zoootic virus infections, epizootic diseases",1987-02,now,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",IV. Employment,,National Reference Centre for Epidemiology of the Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise "G. Caporale","- analysis of the risks due to introduction into Italy of animals and animal products from foreign Countries, - assessments of risks derived from the consumption of food of animal origin, - assessments of risks related to the spread of the main animal infectious diseases, - analysis of data on national prophylactic plans, - collaboration in the establishment of a national epidemiological surveillance system according to the provisions of Directive 97/12/EC, - coordination of the project for the establishment of a web-based GIS application for the international surveillance of bluetongue in European Union (EU-BTNET), under the mandate of the European Commission, - collaboration in the establishment of a national bovine data bank, - collaboration in the establishment of a computerized system for the management of the animal population register and the related veterinary activities in Abruzzo Region, - collaboration to the establishment of the national surveillance system for bluetongue and its information system, - collaboration on the establishment of a zoonoses national monitoring system, - collaboration on the development of a spatial risk models for bluetongue spreading, - collaboration to the activities of OIE-Collaborating Center for Veterinary Training, Epidemiology, Food Safety and Animal Welfare, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G. Caporale"". December 2009 - present Head of Epidemiology and Information Systems Unit of the National Reference Centre for Epidemiology of the Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G. Caporale"", Teramo (Italy).",1995-05,now,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",IV. Employment,,"Friedrich Loeffler Institute, Federal Research Institute for Animal Health","International Animal Health Team Delivery of scientific advise for control and eradication programmes for transboundary animald diseases, in particular ASF and CSF in Eastern Europe (Baltic States, Poland, Romania, Belarus, Ukraine), FMD in Bulgaria.",2010-06,now,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",IV. Employment,,University of Newcastle upon Tyne,"University Professor of Agriculture carrying out teaching and research duties. Teaching to undergraduate and postgraduate students on the behaviour and welfare of farm and companion animals, and on production systems, management and health of farm animals. Research on production systems, housing, management and nutrition of farm livestock and consequences for welfare and health. Species involved are particularly pigs, but also cattle, sheep and poultry. The organisation has no official responsibility for risk management.",2000-07,now,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",IV. Employment,,Anses formerly AFSSA (formerly CNEVA formerly National Vet. Services Laboratories),"Scientist at the National Reference Laboratory for Brucellosis Since 1987: Head of the Brucellosis NRL Since 1991: Head of the OIE Brucellosis Referecne Lab. Since 1998: Head of the FAO Brucellosis Reference Lab. Since 2002: Head of the National Reference Centre for Human Brucellosis Since 1998: Head of the Bacterial Zoonoses Unit (including NRLs for Anthrax, Chlamydiosis, Mycobacterioses, Glanders and Tularemia) Since 2006 : Head of the EURL for Brucellosis Since June 2014 Scientific Adviser at the European and International Affairs Directorate",1982-09,now,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",IV. Employment,X,"Assistance Publique - Hôpitaux de Paris / Université Paris Est Créteil (AH-HP / UPEC), Assistance Publique - Hôpitaux de Paris / Université Paris Est Créteil, 94000 Créteil, FRANCE",Spouse: Professor of Public Health (Statistics - Epidemiology - Medical Research Methodology),1995-01,now,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",IV. Employment,,"Department of Agriculture, Food and the Marine",Government Department,1980-04,now,2015-09-14,AHAW_doi_007.pdf
