Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",IX. Other relevant interest,,European Centre for Disease Prevention and Control (ECDC),ECDC Tender: Development of a tool to appraise and compare vector control strategies against West Nile Fever in Europe,2014-11,now,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",IX. Other relevant interest,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",IX. Other relevant interest,,"Veterinary Microbiology, Veterinary Research, Research in Veterinary Science, Theriogenology, Bioresource Technology, Vector-Borne and Zoonotic Diseases, Journal of General Virology, PLosOne, Journal of Virological Methods",Peer reviewer of these journals,1999-09,now,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",IX. Other relevant interest,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",IX. Other relevant interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",IX. Other relevant interest,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",IX. Other relevant interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",IX. Other relevant interest,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
"GORTAZAR SCHMIDT, Christian",IX. Other relevant interest,,,NO INTEREST,,,2015-05-19,AHAW_doi_008.pdf
"MICHEL, Virginie",IX. Other relevant interest,,"European Commission, Directorate -General for Translation, Belgium, Brussels, Interpretation DG",Expert to assess proposals for the call FP7-PEOPLE-2012- IEF/IIF/IOF,2012-09,2012-10,2015-04-27,AHAW_doi_009.pdf
"MICHEL, Virginie",IX. Other relevant interest,,Italian Ministry of Health,"Independant Proposal evaluation for italian ministry of health Topics: animal welfare, epidemiology, food safety",2014-10,now,2015-04-27,AHAW_doi_009.pdf
"MIRANDA, Miguel Angel",IX. Other relevant interest,,EFSA and ECDC,I'm acting as an invited expert for the VECTORNET project funded by EFSA and ECDC. I was invited to the Annueal General Meeting in Parma in January 2015. Our research team at the University of the Balearic Islands is also supporting research on Culicoides species composition on horse and cattle farms. There is no any economic interest on this activity and only material (light traps and batteries) are provided to our team.,2015-01,now,2015-11-29,AHAW_doi_010.pdf
"MORE, Simon",IX. Other relevant interest,,The Veterinary Journal,"Provision of scientific advice to TVJ editor and sub-editors (choice of reviewers, advice on suitable referees, additional specialist input)",2008-12,2014-12,2015-07-03,AHAW_doi_011.pdf
"MORE, Simon",IX. Other relevant interest,,Irish Veterinary Journal,"Deputy Editor, providing scientific editorial assistance to the Editor-in- Chief",2011-03,now,2015-07-03,AHAW_doi_011.pdf
"NIELSEN, Søren Saxmose",IX. Other relevant interest,,,NO INTEREST,,,2015-04-23,AHAW_doi_012.pdf
"RAJ, Mohan",IX. Other relevant interest,,,NO INTEREST,,,2015-10-06,AHAW_doi_013.pdf
"SIHVONEN, Liisa",IX. Other relevant interest,,,NO INTEREST,,,2015-04-22,AHAW_doi_014.pdf
"SPOOLDER, Hans",IX. Other relevant interest,,,NO INTEREST,,,2015-10-09,AHAW_doi_015.pdf
"STEGEMAN, Jan Arend",IX. Other relevant interest,,Preventive Veterinary Medicine,"Associate editor of Preventive Veterinary Medicine, task is evaluating submitted manuscripts",2009-01,now,2015-10-06,AHAW_doi_016.pdf
"THULKE, Hans-Hermann",IX. Other relevant interest,,,NO INTEREST,,,2015-11-27,AHAW_doi_017.pdf
"VELARDE, Antonio",IX. Other relevant interest,,"OIE, Office International des Epizooties, World Organisation for Animal Health, FRANCE, Paris",Member of the ad hoc Group on Water Bath Stunning method for poultry,2015-10,now,2015-10-07,AHAW_doi_018.pdf
"WILLEBERG, Preben",IX. Other relevant interest,,,NO INTEREST,,,2015-07-01,AHAW_doi_019.pdf
"WINCKLER, Christoph",IX. Other relevant interest,,,NO INTEREST,,,2015-10-09,AHAW_doi_020.pdf
"AGUILAR, Fernando",IX. Other relevant interest,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"CREBELLI, Riccardo",IX. Other relevant interest,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"DI DOMENICO, Alessandro",IX. Other relevant interest,,,NO INTEREST,,,2015-11-12,ANS_doi_002.pdf
"DUSEMUND, Birgit",IX. Other relevant interest,,,NO INTEREST,,,2015-10-09,ANS_doi_003.pdf
"FRUTOS FERNANDEZ, Maria Jose",IX. Other relevant interest,,,NO INTEREST,,,2015-11-10,ANS_doi_004.pdf
"GALTIER, Pierre",IX. Other relevant interest,,Fonds Français Alimentation et Santé,Participation to the Scientific Meeting on Food Toxicology: Journée scientifique du 28/01/2014: "Le risque en Toxicologie Alimentaire" Présentation: "La réévaluation des colorants alimentaires" MY PARTICIPATION WAS NOT FUNDED BY FOOD INDUSTRY.,2014-01,2014-01,2015-10-11,ANS_doi_005.pdf
"GUNDERT-REMY, Ursula",IX. Other relevant interest,,"International Life Science Institute, ILSI, European Section, Brussels, Private Organisation","TTC workshop, 8-10 June 2011: Participation on behalf of EFSA. Participated as chair of the break oput group 1 Non-cancer endpoints: Databases and chemical domain",2011-06,2011-06,2015-10-08,ANS_doi_007.pdf
"LAMBRÉ, Claude",IX. Other relevant interest,,,NO INTEREST,,,2015-10-13,ANS_doi_008.pdf
"LEBLANC, Jean-Charles",IX. Other relevant interest,,,NO INTEREST,,,2015-06-10,ANS_doi_009.pdf
"LINDTNER, Oliver",IX. Other relevant interest,,,,,,2015-02-09,ANS_doi_010.pdf
"LINDTNER, Oliver",IX. Other relevant interest,X,"Bundesinstitut für Risikobewertung (BfR), Federal Institute for Risk Assessment, Federal Institute for Risk Assessment, GERMANY, Berlin",Wife is a Scientific Assistant in the Group of "Pesticide residues".,2004-02,now,2015-02-09,ANS_doi_010.pdf
"MOLDEUS, Peter",IX. Other relevant interest,,,NO INTEREST,,,2015-09-21,ANS_doi_011.pdf
"MORTENSEN, Alicja",IX. Other relevant interest,,,NO INTEREST,,,2015-10-09,ANS_doi_012.pdf
"MOSESSO, Pasquale",IX. Other relevant interest,,,NO INTEREST,,,2015-10-21,ANS_doi_013.pdf
"OSKARSSON, Agneta",IX. Other relevant interest,,,NO INTEREST,,,2015-11-06,ANS_doi_014.pdf
"PARENT-MASSIN , Dominique",IX. Other relevant interest,,FAO,"Courses during a 3 days workshop in Cotonou (Bénin) to risk managers from UEMOA countries. I gave the following lessons : risk analysis for chemical in food safety, risk profiles, risk ranking, database in food safety and food safety agencies. I had a very short contract as consultant with FAO for these courses.",2011-12,2011-12,2015-07-03,ANS_doi_015.pdf
"PARENT-MASSIN , Dominique",IX. Other relevant interest,,FOND FRANCAIS ALIMENTATION SANTE,"Chair of a working in food toxicology, in charge of organization of seminar and congress in food toxicology, Lecture 28/01/2014 Principes d'évaluation du risque chimique en sécurité alimentaire This activity is not retribuated. 5 meeting/year, 3 hours/meeting.",2012-11,now,2015-07-03,ANS_doi_015.pdf
