Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",V. Occasional consultancy,,"ANSES, Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail, FRANCE, Maisons- Alfort","1. Member of the Committee of Specialised Experts REACH (CES REACH) at the ANSES, Paris, France 2. since 2014: Member of the Programme Committee for Scientific Research (CSPR), ANSES, Paris, France",2013-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",V. Occasional consultancy,,"Institut des Systèmes Complexes Rhodanien (www.ixxi.fr) (IXXI), Rhodanien Complex Systems Institute, Lyon, FRANCE",Chairman of the Steering Committee IXXI,2013-01,now,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",V. Occasional consultancy,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",V. Occasional consultancy,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",V. Occasional consultancy,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",V. Occasional consultancy,,EUROPEAN COMMISSION,"Advisory activities and task force expert for the EC (DG-SANCO) on CSF, ASF and FMD. Member of the Community Veterinary Emergency Team (DG-SANCO); Expert missions on CSF to Latvia in 2013 and expert missions on ASF to the Baltic States and Poland in 2014.",2010-06,now,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",V. Occasional consultancy,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"OIE (OIE), World Organisation for Animal Health, Paris, FRANCE",Working groups on Brucellosis and Tuberculosis Expertise of Diagnostic Reagent OIE Registration. Participation à des colloques internationaux (OIE Focal point meetings notamment).,1991-01,now,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"FAO (FAO), FAO, Rome, ITALY","FAO Consultancy missions on Brucellosis in Algeria, Morocco, Bosnia-Herzegovina and Thailand.",1992-01,2014-03,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"WHO (WHO), WHO, Geneva, SWITZERLAND","Expert meeting in WHO HQ Geneva Consultancy missions in Mongolia, Oman and Tunisia",1992-01,2003-12,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"IAEA (IAEA), IAEA, Vienna, AUSTRIA","IAEA consultancy misison, Scientific and technical support to the implementation of an ELISA-based serological survey in small ruminants brucellosis (Tunisia)",1997-12,1998-11,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"European Commission DG Sanco (EC - DG SANCO), EC - DG SANCO, Brussels, BELGIUM",Brucellosis Expert group of the Task Force for monitoring disease eradication.,2000-01,now,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"Food and Veterinary Office (FVO), FVO, Dublin, IRELAND",2 inspection missions (external expert) in Ireland (06/2002) and Cyprus (06-07/2003),2002-01,2003-12,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"EFSA (EFSA), EFSA, Parma, ITALY","Working Group on Bovine, ovine and caprine brucellosis Brucellosis (2005-2006). Working group on Porcine brucellosis (2008-2009).",2005-01,2009-12,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"European Commission (EC - DG SANCO), EC - DG SANCO, Brussels, BELGIUM",EURL for Brucellosis,2006-01,2014-06,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"INSTITUTO PORTUGUÊS DE ACREDITAÇÃO (IPAC), Portuguese Institue for Accreditation,, 2829-513 Caparica, PORTUGAL",ISO 17025 accreditation audits of the National Laboratory for Veterinary Research (LNIV),2008-01,2011-12,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,European Commission - DG Health and Consumers,EC Expert Group for the evaluation of Brucellosis co-financed eradication programmes submitted by the EU Member States,2012-05,2014-07,2015-04-27,AHAW_doi_006.pdf
"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"France Vétérinaire International (FVI), France Vétérinaire International, 69280 MARCY L’ETOILE, FRANCE",Mission d'Expertise concernant le développement du Centre National de Veille Zoosanitaire de Tunis (lutte contre la tuberculose et la brucellose - organisation et missions de l'IRVT),2013-01,2013-12,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",V. Occasional consultancy,,"Commission of the European Communities (EU), Commission of the European Communities, Brussels, BELGIUM",Evaluation of programmes submitted by Member States for EU co- funding for TB and TSE eradication/monitoring,2013-06,now,2015-09-14,AHAW_doi_007.pdf
"GORTAZAR SCHMIDT, Christian",V. Occasional consultancy,,,NO INTEREST,,,2015-05-19,AHAW_doi_008.pdf
"MICHEL, Virginie",V. Occasional consultancy,,,NO INTEREST,,,2015-04-27,AHAW_doi_009.pdf
"MIRANDA, Miguel Angel",V. Occasional consultancy,,,NO INTEREST,,,2015-11-29,AHAW_doi_010.pdf
"MORE, Simon",V. Occasional consultancy,,Department of Agriculture and Rural Development Northern Ireland,"I have occasionally provided scientific advice to DARDNI on a range of animal health and welfare issues. At times, this advice is very specific (providing input into specific potential research projects, including badger prevalence studies). At other times, the discussions are more broad-ranging, focusing on strategies to tackle non-regulatory animal health issues on the island of Ireland and on issues relating to governance of the national TB programmes. In addition, I sit on an government-to-government (Ireland-Northern Ireland) TB/brucellosis committee, sharing scientific information relevant to these two disease eradication programmes. The TB/brucellosis committee meets approximately twice each year, taking a day of my time at each meeting. Performed in a personal capacity.",2008-01,now,2015-07-03,AHAW_doi_011.pdf
"NIELSEN, Søren Saxmose",V. Occasional consultancy,,,NO INTEREST,,,2015-04-23,AHAW_doi_012.pdf
"RAJ, Mohan",V. Occasional consultancy,,CONFIDENTIAL,Welfare of poultry.,2012-03,2012-10,2015-10-06,AHAW_doi_013.pdf
"SIHVONEN, Liisa",V. Occasional consultancy,,,NO INTEREST,,,2015-04-22,AHAW_doi_014.pdf
"SPOOLDER, Hans",V. Occasional consultancy,,,NO INTEREST,,,2015-10-09,AHAW_doi_015.pdf
"STEGEMAN, Jan Arend",V. Occasional consultancy,,Dutch Animal Health Service,"Member of Committee that advises on the research priorities of the Dutch Animal Health Service. Since 2012 these research priorities have been : 1) development of diagnostic platforms that can be used on farms (on site diagnostics), 2) development of markers for robustness in animals, 3) gut health in chickens en 4) development of new diagnostics for antibiotic resistance. ad 1) aimed at production diseases in general, but the advise does not include specific diseases, because it is directed at the technique itself, it will certainly not include notifiable diseases (prohibited for AHS, task of CVI) and also does not include vector borne diseases and there is no plan to include them; ad 2) does not include specific diseases, longevity of cattle is the outcome parameter; ad 3) does also not include specific diseases, because here the challenge is to define a healthy gut (in contrast to gut diseases); ad 4) this aims at identifying new techniques that can more quickly (than bacterial culture) identify antimicrobial resistance in order to chose the right treatment more quickly. In my opinion there has been no overlap between this consultancy and my work for EFSA, neither as a panel member, nor as a member or chair of a WG. To phrase this specifically for the chairing: There has been no overlap with the mandate on Rift Valley Fever, AHS does not have any activity in this area nor is planning one. The consultancy also has never had any involvement with bovine TB. Moreover vector borne diseases have not and will not be part of the consultancy, because that is restricted to the topics listed above and will be for the coming year (by December 2015 the contract will be reevaluated or can be stopped). This advisory task is part of an exchange of services between faculty of veterinary medicine (and consequently actually part of my normal job) and Dutch AHS. Total time spent: committee meets 4-5 times/year, total time spent (including travel and preparation) 5 days/year.",2012-01,now,2015-10-06,AHAW_doi_016.pdf
"THULKE, Hans-Hermann",V. Occasional consultancy,,"EMA, European Medicines Agency, EU / UK, London",Advice on quatitative methodology Two days within five years Application decisions,2010-05,now,2015-11-27,AHAW_doi_017.pdf
"VELARDE, Antonio",V. Occasional consultancy,,IBF International,Help to collect data to to assess implementation of EU legislation on transport of animals,2010-10,2011-03,2015-10-07,AHAW_doi_018.pdf
"VELARDE, Antonio",V. Occasional consultancy,,Organismo internacional regional de sanidad agropecuaria,Scientific support for the development of Regional Standards of Animal Welfare during transport and at slaughter,2011-11,2012-02,2015-10-07,AHAW_doi_018.pdf
"WILLEBERG, Preben",V. Occasional consultancy,,PigCity,"To advise on potential field trials to document the animal health and welfare effects of the proposed PigCity integrated production unit for pigs and tomatoes. I have signed an agreement with the company through COWI Consult A/S, which is in charge of the overall consulting activity for this project, to be paid per hour of service at an agreed rate. This past year I have spent less than 10 hours on this activity.",2011-04,2013-11,2015-07-01,AHAW_doi_019.pdf
"WILLEBERG, Preben",V. Occasional consultancy,,CONFIDENTIAL,"Editing of a risk-analysis report regarding trade in live animals, according to a fully transposed EU legislation. Reviewing a risk- analysis report on import of meat. Ended in 2013.",2012-02,2013-12,2015-07-01,AHAW_doi_019.pdf
"WILLEBERG, Preben",V. Occasional consultancy,,Danish Veterinary and Food Administration,"Participation as one of two experts in a ""service inspection"" of current Danish contingency plans and emergency preparedness procedures for notifiable animal diseases",2012-02,2013-03,2015-07-01,AHAW_doi_019.pdf
"WINCKLER, Christoph",V. Occasional consultancy,,"Vier Pfoten International, Vier Pfoten International, Vienna, AUSTRIA",Scientific support for the development of animal-based measures for the certification of animal-welfare friendly beef production.,2014-09,2015-03,2015-10-09,AHAW_doi_020.pdf
"WINCKLER, Christoph",V. Occasional consultancy,,"BioAustria (BioAustria), BioAustria, Linz, AUSTRIA",Scientific advice for the development of animal-based measures to be used in an animal welfare self-evaluation protocol for organic farmers.,2015-05,2015-08,2015-10-09,AHAW_doi_020.pdf
"AGUILAR, Fernando",V. Occasional consultancy,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"CREBELLI, Riccardo",V. Occasional consultancy,,Ministry of Health (Superior Council of Health),"Advising activity on genotoxicity of Food contact materials and guideline values for vanadium, lead, arsenic and perfluoro alkyl compounds in drinking water (one to four meetings per year)",2002-01,now,2015-10-19,ANS_doi_001.pdf
"DI DOMENICO, Alessandro",V. Occasional consultancy,,ISS,"Risk and exposure assessment of (persistent) organic chemicals. Risk and exposure assessment of persistent toxic substances, including priority metals. Analytical procedures. The underwriter ceased employment with former employer (see above) for age limit, but is staying with the same institution with an honorary assignment as a sector ""expert"" for support and guidance of scientific research activities. The underwriter has no commitments with other employers.",2010-03,now,2015-11-12,ANS_doi_002.pdf
"DUSEMUND, Birgit",V. Occasional consultancy,,,NO INTEREST,,,2015-10-09,ANS_doi_003.pdf
"FRUTOS FERNANDEZ, Maria Jose",V. Occasional consultancy,,"United States Department of Agriculture (USDA), United States Department of Agriculture, UNITED STATES","Evaluation of Small Business Innovation Research Program (SBIR) projects, to select innovation projects to be funded in this program.",2010-12,2011-02,2015-11-10,ANS_doi_004.pdf
