Subject group,Full name,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
AHAW,"BICOUT, Dominique",,ITAVI (Institut Technique d'Aviculture) / Ministere de l'Agriculture,Modelling the spreading of avian influenza in the Dombes area,2007-01,now,2015-07-12,AHAW_doi_000.pdf
AHAW,"BICOUT, Dominique",,EID Rhône Alpes (Mosquito Control Agency - Rhone Alps),Modeling the spatio-temporal distribution of Aedes albopictus in the Rhone Alps region,2012-01,now,2015-07-12,AHAW_doi_000.pdf
AHAW,"BICOUT, Dominique",,"TIMC-IMAG, UMR5525 CNRS UJF VetAgro Sup",Modelling the emergence of antibaterial resistance,2014-11,now,2015-07-12,AHAW_doi_000.pdf
AHAW,"BUTTERWORTH, Andrew",,"University of Bristol, UNITED KINGDOM","EU competitive research grants University of Bristol FP7-EC EUWelNet, EU PLF FP7 KBBE 2012 6",2012-06,now,2015-04-25,AHAW_doi_001.pdf
AHAW,"BØTNER, Anette",,"DTU Veterinærinstituttet ; DTU National Veterinary Institute, Denmark, Copenhagen, DTUVet","Studies regarding surveillance prevention, eradication, intervention and control of virus infection in husbandry animals The research (co-)funding I received from the private sector in the latest full budget year, and for the areas covered by the Panels, does not exceeds 25% of the total annual research budget that is managed by me",2013-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"CALISTRI, Paolo",,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"DEPNER, Klaus",,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"EDWARDS, Sandra",,British Pig Executive,"""The research co-funding I received from the private sector in the latest full budget year, and for the areas covered by the panels, does not exceed 25% of the total annual research budget that is managed by me"" BPEX is the pig industry levy body and funds research projects on applied pig science. They have funded a number of studentships since 2009 for which I have been principal or associate supervisor. They currently fund my University for 1 research studentship of which I am principal supervisor on the topic of maternal characteristics of sows. The funding pays for the fees and maintenance grant of the student. Costs for their experimental work are paid by the government grant to the University.",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,Defra,"Defra is the UK government department dealing with agriculture and in the last year funded my University for projects in which I am involved welfare of organic pigs, development of new farrowing systems and tail docking of pigs.",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,EU,The EU in the last year funded my University for research projects in which I am involved on production diseases in pigs and poultry,2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,Nigerian government,I have been the supervisor of 2 students funded by their government to study piglet survival and broiler nutrition.,2009-09,2014-08,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,Malaysian government,I have been the supervisor of 2 students funded by their government to study broiler housing systems and dairy cattle reproduction.,2009-09,2014-06,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,J Sainsbury plc,"""The research co-funding I received from the private sector in the latest full budget year, and for the areas covered by the panels, does not exceed 25% of the total annual research budget that is managed by me"" J Sainsbury is a retailer and funds a project on the practical development and evaluation of free farrowing systems",2013-10,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,Feed compounders,"""The research co-funding I received from the private sector in the latest full budget year, and for the areas covered by the panels, does not exceed 25% of the total annual research budget that is managed by me"" My University carries out short term feed evaluation trials for industry which I have supervised in the past. I have no involvement in these currently or in the last year.",2013-10,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,"TSB, Technology Strategy Board (National Technology Funding Agency), UK",The TSB fund a project on the development of an integrated pig housing system to promote welfare and environmental sustainability.,2014-07,now,2015-10-08,AHAW_doi_005.pdf
