Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",VII. Intellectual property rights,,"University of Bristol, UNITED KINGDOM","Patent EP1044611 B1 Pithing rod for humane killing of cattle Publication dateJul 31, 2002 Filing dateApr 10, 2000 Priority dateApr 13, 1999 Also published asDE60000297D1, DE60000297T2, EP1044611A1 in other member states and USA InventorsAndrew Butterworth ApplicantUniversity Of Bristol",2002-07,now,2015-04-25,AHAW_doi_001.pdf
"BØTNER, Anette",VII. Intellectual property rights,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
"CALISTRI, Paolo",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
"DEPNER, Klaus",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
"EDWARDS, Sandra",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
"GARIN-BASTUJI, Bruno",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
"GOOD, Margaret",VII. Intellectual property rights,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
"GORTAZAR SCHMIDT, Christian",VII. Intellectual property rights,,Spanish Patents Office,"4 patents on baits for vaccine delivery, selective feeders for bait deployment, selective gates, and Anaplasma vaccine. These patents are not yet under exploitation and there are no royalties paid directly to me (if any, they would be paid to the University).",2010-01,now,2015-05-19,AHAW_doi_008.pdf
"MICHEL, Virginie",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-27,AHAW_doi_009.pdf
"MIRANDA, Miguel Angel",VII. Intellectual property rights,,,NO INTEREST,,,2015-11-29,AHAW_doi_010.pdf
"MORE, Simon",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-03,AHAW_doi_011.pdf
"NIELSEN, Søren Saxmose",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-23,AHAW_doi_012.pdf
"RAJ, Mohan",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-06,AHAW_doi_013.pdf
"SIHVONEN, Liisa",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-22,AHAW_doi_014.pdf
"SPOOLDER, Hans",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-09,AHAW_doi_015.pdf
"STEGEMAN, Jan Arend",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-06,AHAW_doi_016.pdf
"THULKE, Hans-Hermann",VII. Intellectual property rights,,,NO INTEREST,,,2015-11-27,AHAW_doi_017.pdf
"VELARDE, Antonio",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-07,AHAW_doi_018.pdf
"WILLEBERG, Preben",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-01,AHAW_doi_019.pdf
"WINCKLER, Christoph",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-09,AHAW_doi_020.pdf
"AGUILAR, Fernando",VII. Intellectual property rights,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"CREBELLI, Riccardo",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"DI DOMENICO, Alessandro",VII. Intellectual property rights,,,NO INTEREST,,,2015-11-12,ANS_doi_002.pdf
"DUSEMUND, Birgit",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-09,ANS_doi_003.pdf
"FRUTOS FERNANDEZ, Maria Jose",VII. Intellectual property rights,,,NO INTEREST,,,2015-11-10,ANS_doi_004.pdf
"GALTIER, Pierre",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-11,ANS_doi_005.pdf
"GOTT, David",VII. Intellectual property rights,,,NO INTEREST,,,2014-12-19,ANS_doi_006.pdf
"GUNDERT-REMY, Ursula",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-08,ANS_doi_007.pdf
"LAMBRÉ, Claude",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-13,ANS_doi_008.pdf
"LEBLANC, Jean-Charles",VII. Intellectual property rights,,,NO INTEREST,,,2015-06-10,ANS_doi_009.pdf
"LINDTNER, Oliver",VII. Intellectual property rights,,,NO INTEREST,,,2015-02-09,ANS_doi_010.pdf
"MOLDEUS, Peter",VII. Intellectual property rights,,,NO INTEREST,,,2015-09-21,ANS_doi_011.pdf
"MORTENSEN, Alicja",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-09,ANS_doi_012.pdf
"MOSESSO, Pasquale",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-21,ANS_doi_013.pdf
"OSKARSSON, Agneta",VII. Intellectual property rights,,,NO INTEREST,,,2015-11-06,ANS_doi_014.pdf
"PARENT-MASSIN , Dominique",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-03,ANS_doi_015.pdf
"STANKOVIC, Ivan",VII. Intellectual property rights,,,NO INTEREST,,,2015-02-21,ANS_doi_016.pdf
"WAALKENS-BERENDSEN, Ine",VII. Intellectual property rights,,,NO INTEREST,,,2015-11-09,ANS_doi_017.pdf
"WOUTERSEN, Rudolf Antonius",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-12,ANS_doi_018.pdf
"WRIGHT, Matthew",VII. Intellectual property rights,,Pfizer,Previous employer (University of Aberdeen) IP protecting C1-3 antibody technology. I could receive personal financial benefit if the antibody is developed for use as a therapeutic in man.,2007-10,now,2015-02-02,ANS_doi_019.pdf
