Subject group,Full name,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
AHAW,"BICOUT, Dominique",,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
AHAW,"BUTTERWORTH, Andrew",,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BØTNER, Anette",,Danish Pig Veterinary Society,Porcine veterinary Medicine,1984-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",,European Society for Veterinary Virologist,"Scientific organization, research, teaching, practical application of veterinary virology",1990-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",,Danish Society of Virology,Scientific Organization,1995-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"CALISTRI, Paolo",,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"DEPNER, Klaus",,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"EDWARDS, Sandra",,Society for Biology,"I am a Fellow of this professional society for UK people working in any aspect of biology. The society organises learned meetings and CPD for members, responds to government consultations and produces the journal ""Biologist"".",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,American Society of Animal Science,"I am a member of this professional society of scientists engaged in research on animal science - predominantly farm animals. They run scientific meetings, and publish the Journal of Animal Science.",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,British Society of Animal Science,"I am a member of this professional society of animal scientists which organises scientific meetings and publishes the journal ""Animal""",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",,International Society for Applied Ethology,I am a member of this professional society of animal scientists engaged in the study of animal behaviour and welfare. The society organises scientific meetings and special issues of the journal Applied Animal Behaviour Science.,2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"GARIN-BASTUJI, Bruno",,Société Française de Microbiologie,French Society for Microbiology (member),1987-01,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GOOD, Margaret",,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",,Springer Editorial,"Editor in chief, European Journal of Wildlife Research",2009-01,now,2015-05-19,AHAW_doi_008.pdf
AHAW,"MICHEL, Virginie",,,NO INTEREST,,,2015-04-27,AHAW_doi_009.pdf
AHAW,"MIRANDA, Miguel Angel",,,NO INTEREST,,,2015-11-29,AHAW_doi_010.pdf
AHAW,"MORE, Simon",,Australian and New Zealand College of Veterinary Scientists,"Professional veterinary body, specialising in postgraduate education and specialisation",1992-01,now,2015-07-03,AHAW_doi_011.pdf
AHAW,"MORE, Simon",,Veterinary Council of Ireland,National veterinary registration authority,2004-01,now,2015-07-03,AHAW_doi_011.pdf
AHAW,"MORE, Simon",,European College of Veterinary Public Health,"Professional veterinary body, specialising in postgraduate education and specialisation",2004-01,now,2015-07-03,AHAW_doi_011.pdf
AHAW,"MORE, Simon",,Veterinary Ireland,"Professional veterinary body (membership throughout this period, except for a short period during 2012/13)",2004-01,2014-01,2015-07-03,AHAW_doi_011.pdf
AHAW,"MORE, Simon",,European College of Bovine Health Management,"Professional veterinary body, specialising in postgraduate education and specialisation",2007-01,now,2015-07-03,AHAW_doi_011.pdf
AHAW,"MORE, Simon",,Society for Veterinary Epidemiology and Preventive Medicine,"Committee member, contributing to oversight of the activities of this scholarly society. I was an ordinary committee member between 2007 and 2010, and have been co-opted as a member from 2012 to present given my role as local organiser of the 2014 annual conference in Dublin",2007-03,2014-03,2015-07-03,AHAW_doi_011.pdf
AHAW,"NIELSEN, Søren Saxmose",,International Association for Paratuberculosis,Member of Executive Board,2007-10,now,2015-04-23,AHAW_doi_012.pdf
AHAW,"NIELSEN, Søren Saxmose",,"ECVPH, European College for Veterinary Public Health",Board member,2013-10,now,2015-04-23,AHAW_doi_012.pdf
AHAW,"RAJ, Mohan",,Federation of Veterinarians of Europe / British Veterinary Association,"Working group member - animal welfare during stunning and slaughter or killing, excluding fish.",2006-03,2010-10,2015-10-06,AHAW_doi_013.pdf
AHAW,"SIHVONEN, Liisa",,NKVet Nordic Committe for Veterinary Medicine,"NKVet, The Nordic Committee for Veterinary Scientific Cooperation, was founded in 1977 by the five Nordic Veterinary Associations. NKVet aims are to promote increased veterinary research cooperation between veterinarians and researchers within the Nordic countries by organising meetings on topics within veterinary sciences relevant for a broad Nordic audience. NKVet is administered by a Board consisting of nine members, one from Iceland and two from each of the other Nordic countries. The Board members are nominated among employees at the veterinary universities and national veterinary institutes, and elected by their respective national veterinary associations. The work they perform for the NKVet is based on voluntary work and no compensation, except travel expenses to board meetings, is paid by the NKVet. The Board meets twice a year, normally in conjunction with the annual symposia. A Finnish member of NKVet board since October 2013",2013-10,now,2015-04-22,AHAW_doi_014.pdf
AHAW,"SPOOLDER, Hans",,,NO INTEREST,,,2015-10-09,AHAW_doi_015.pdf
AHAW,"STEGEMAN, Jan Arend",,Stichting Geborgde Dierenarts,This independent foundation evaluates whether the quality assurance of Dutch Veterinarians is carried out in a correct way.,2011-09,now,2015-10-06,AHAW_doi_016.pdf
AHAW,"STEGEMAN, Jan Arend",,Stichting ISVEE13,"Foundation for the Organisation committee of the 13th International Symposium of Veterinary Epidemiology and Economics, to be held in Maastricht The Netherlands from 20-24 August 2011 (chair)",2011-09,2012-12,2015-10-06,AHAW_doi_016.pdf
AHAW,"THULKE, Hans-Hermann",,SVEPM-Committee,Veterinary Epidemiology,2009-03,now,2015-11-27,AHAW_doi_017.pdf
AHAW,"THULKE, Hans-Hermann",,German Veterinary Medicine Society (DVG),Veterinary Medicine,2015-01,now,2015-11-27,AHAW_doi_017.pdf
AHAW,"VELARDE, Antonio",,European Federation of Animal Science (EAAP),Member of the EAAP commission on Pig Production,2010-11,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,European College of Animal Welfare and Behavioural,Membership of the European College of Animal Welfare and Behavioural Medicine: sub-specialty Animal Welfare Science.,2011-11,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"WILLEBERG, Preben",,,NO INTEREST,,,2015-07-01,AHAW_doi_019.pdf
AHAW,"WINCKLER, Christoph",,International Society for Applied Ethology,"ISAE is an international association for scientists interested in the behaviour and welfare of confined or domesticated animals, including companion, farm, zoo and managed wild animal species. Member",2000-01,now,2015-10-09,AHAW_doi_020.pdf
