Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BICOUT, Dominique",I. Economic interest,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",IV. Employment,,"Vetagro Sup, Institut d'Enseignement Supérieur et de recherche en Alimentation, Santé Animale, Sciences Agronomiques et de l'Environnement (Vetagro Sup), FRANCE, Marcy L'Etoile","PI Scientific Researcher in: - Mathematical Epidemiology, Vector-Borne and Infections Diseases - Modeling the exposure to chemical substances, and toxicology - Sanitary risk assessment - Modeling in Biophysics",2001-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",IV. Employment,,"Université Joseph Fourier - Grenoble 1 (UJF), Grenoble university, Grenoble, FRANCE","Teaching at University Joseph Fourier - Grenoble 1, France Master 2: Research Methods in Health - Environment Toxicology and EcoToxicology (RMHETE) - Since 2004: Head of section: Modelling in Health - Environment - Since 2011: co - Head of the Research Master 2 RMHETE",2004-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",IX. Other relevant interest,,European Centre for Disease Prevention and Control (ECDC),ECDC Tender: Development of a tool to appraise and compare vector control strategies against West Nile Fever in Europe,2014-11,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",V. Occasional consultancy,,"ANSES, Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail, FRANCE, Maisons- Alfort","1. Member of the Committee of Specialised Experts REACH (CES REACH) at the ANSES, Paris, France 2. since 2014: Member of the Programme Committee for Scientific Research (CSPR), ANSES, Paris, France",2013-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",V. Occasional consultancy,,"Institut des Systèmes Complexes Rhodanien (www.ixxi.fr) (IXXI), Rhodanien Complex Systems Institute, Lyon, FRANCE",Chairman of the Steering Committee IXXI,2013-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",VI. Research funding,,ITAVI (Institut Technique d'Aviculture) / Ministere de l'Agriculture,Modelling the spreading of avian influenza in the Dombes area,2007-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",VI. Research funding,,EID Rhône Alpes (Mosquito Control Agency - Rhone Alps),Modeling the spatio-temporal distribution of Aedes albopictus in the Rhone Alps region,2012-01,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",VI. Research funding,,"TIMC-IMAG, UMR5525 CNRS UJF VetAgro Sup",Modelling the emergence of antibaterial resistance,2014-11,now,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BICOUT, Dominique",X. Interests of close family members,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
"BUTTERWORTH, Andrew",I. Economic interest,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",III. Member of a scientific advisory entity,,"Farm Animal Welfare Committee (FAWC), London, UNITED KINGDOM","FAWC advises the Department for Environment, Food and Rural Affairs (Defra) and the devolved administrations in Scotland and Wales on the welfare of farmed animals.",2013-01,now,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",IV. Employment,,"University of Bristol, UNITED KINGDOM",Education and research institute. Senior Lecturer and Senior Researcher No risk management responsibility other than day to day risk assessment for staff employed on projects I manage Employed by University of Bristol,1998-01,now,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",IX. Other relevant interest,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",V. Occasional consultancy,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",VI. Research funding,,"University of Bristol, UNITED KINGDOM","EU competitive research grants University of Bristol FP7-EC EUWelNet, EU PLF FP7 KBBE 2012 6",2012-06,now,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",VII. Intellectual property rights,,"University of Bristol, UNITED KINGDOM","Patent EP1044611 B1 Pithing rod for humane killing of cattle Publication dateJul 31, 2002 Filing dateApr 10, 2000 Priority dateApr 13, 1999 Also published asDE60000297D1, DE60000297T2, EP1044611A1 in other member states and USA InventorsAndrew Butterworth ApplicantUniversity Of Bristol",2002-07,now,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
"BUTTERWORTH, Andrew",X. Interests of close family members,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
