Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"AGUILAR, Fernando",I. Economic interest,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",IV. Employment,,"French Agency for food, environmental and occupational health safety - Anses",Scientific coordinator of Panel of experts.,2002-03,now,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",IV. Employment,X,"Nestlé, Noisiel, FRANCE",Quality management system coordinator (no single product related),2008-08,now,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",IX. Other relevant interest,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",V. Occasional consultancy,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",VI. Research funding,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",VII. Intellectual property rights,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"AGUILAR, Fernando",VIII. Other memberships or affiliations,,AAAS - American association for the advance of science,"Publisher of Science journal, Promotion of science.",2008-01,now,2015-03-02,ANS_doi_000.pdf
"CREBELLI, Riccardo",I. Economic interest,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",III. Member of a scientific advisory entity,,Ministry of Health (Advisory Committee on Pesticides),Advising activity on genotoxicity of Pesticides as member of the National Advisory Committee on Pesticides (4-6 meetings per year).,2002-01,now,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",III. Member of a scientific advisory entity,,OECD - Test Guideline Programme,"Within the framework of the OECD Test Guideline Programme, an expert group to review the set of OECD Test Guidelines on Genotoxicity has been established on July 2010. R.C has been appointed to participate as national expert. The working group is revising existing and newly proposed test guidelines, and will update the OECD introductory document on genetic toxicology testing and testing strategies. Testing strategies have also been recently reviewed by the EFSA working group on Genotoxicity testing strategies. It is noted that there is no overlap between the EFSA and scheduled OECD activities, because the EFSA opinion on testing startegies has already been finalized and published in 2011. No physical meeting are attended. Written comments forwarded through the National Coordinator (one-three for year) .",2010-07,now,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",IV. Employment,,Italian National Institute of Health (Istituto Superiore di Sanità),Experimental and advising activities on genetic toxicology of environmental chemicals.,1995-07,now,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",IX. Other relevant interest,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",V. Occasional consultancy,,Ministry of Health (Superior Council of Health),"Advising activity on genotoxicity of Food contact materials and guideline values for vanadium, lead, arsenic and perfluoro alkyl compounds in drinking water (one to four meetings per year)",2002-01,now,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",VI. Research funding,,"Regione Veneto, Italy (regional administration)",experimental and advising activity on toxicology of perfluorinated alkyl compounds (PFAS) present as contaminants in drinking water,2014-12,now,2015-10-19,ANS_doi_001.pdf
"CREBELLI, Riccardo",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
