Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BIRCH, Andrew Nicholas",I. Economic interest,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",IV. Employment,,"The James Hutton Institute, Dundee (formerly Scottish Crop Research Institute)","Agricultural research (formerly called The Scottish Crop Research Institute). I am a Principle Investigator and Senior Research Entomologist. I study Integrated Pest Management, insect-plant interactions, chemical ecology and GM crop system biosafety and environmental risk assessment.",1985-01,now,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",IX. Other relevant interest,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",V. Occasional consultancy,,"Koppert Biological systems Ltd, Koppert Ltd, Rotterdam, NETHERLANDS","Biocontrol and IPM in soft fruit. Koppert Biological Systems (UK and Netherlands) develop and market biocontrol products for a range of crops. Their role was to provide in kind biocontrol agents for IPM research at JHI. My role was as an unpaid advisor on biocontrol for soft fruit grown in polytunnels and open fields, approximately for 2 days per year. This consultancy was not related to GMOs.",2010-03,2015-01,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VI. Research funding,,Scottish Government (RESAS),"Scottish Government, Rural and Environmental Science and Analtical Services (RESAS): Core funding from Scottish government for public good research on IPM and agroecology. This is public sector funding and accounts for C. 30% of my total funding (the remainder is EU and UK public sector funding).",2010-03,now,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VI. Research funding,,Department for Environment Food and Rural Affairs + Horticultural Development Council,"Project to evaluate biopesticides for U.K. fruit and vegetable for conventional protected crops. My role is as a Principle Investigator, co- coordinating the UK entomology research on biocontrol and alternatives to pesticides. There is no involvement of GMOs. Multiple biopesticide companies only provide coded biopesticide samples for independent testing to all partners, via a centralised committee of indpendent researchers and administrators. Companies do not fund the project (it is government funded by DEFRA/HDC) and only provide in kind contributions of biopesticide products to test, on a competitive basis. The project runs until December 2014 but may be extended for a few months to communicate results via meetings and reports.",2011-03,2015-01,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VI. Research funding,,EU FP7,"EU PURE consortium member and coordinator for the James Hutton Institute (JHI). My responsibility in several WPs is to design and test Integrated Pest Management (IPM) systems for conventionally bred crops including field vegetables, cereals, wheat and protected crops (tomato). This project does not include GMOs. It runs until the end of January 2015.",2011-04,2015-03,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VI. Research funding,,EU FP7,"EU AMIGA (Assessing and Monitoring Impacts of Genetically Modified Plants on Agro-ecosystems: GM crop system biosafety and potential uses of GM crops in IPM. My role is to oversee IPM related trials (data analysis, interpretation and reporting). I am not directly involved in any GM crop field trials as these are carried out outside the UK. My research is 100% funded bu EC and runs until December 2015.",2012-01,now,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VIII. Other memberships or affiliations,,"Royal Entomological Society, Linnean Society",Research Fellow (Honorary),1998-02,now,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",VIII. Other memberships or affiliations,,University of Idaho,"Ecology and entomology. Visiting Professorship (honorary), giving lectures and supervising research project students. This represents 1-2 weeks at a time, once every 2-3 years, on average.",2010-07,now,2015-07-28,GMO_doi_000.pdf
"BIRCH, Andrew Nicholas",X. Interests of close family members,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"CASACUBERTA, Josep",I. Economic interest,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",II. Member of a managing entity or equivalent structure,,"Center for Research in Agricultural Genomics, CRAG (CSIC-IRTA-UAB-UB) (CRAG), Barcelona, SPAIN","Corrdinator of the Plant and Animal Genomics Program of CRAG. CRAG is a public research institution, created as a consortium between CSIC (the biggest public research institution of Spain), IRTA (a research institute owned by the Government of Catalonia), and the two public Universities UB (University of Barcelona) and UAB (autonomous University of Barcelona). The role as Coordinator of the Program consist on animate and coordinate the resarch of some 20 scientist staff and 60 scuientist in total working on plant and animal genomics; participate to the design of the scientific strategy of CRAG as part of the scientific committee. This work includes regular meetings with the members of the Program (at least one per month), and attending the Scientific Committee meetings (at least one per month). Report to the director of CRAG and to the external scientific advisory board (one formal meeting per year).",2013-06,now,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",III. Member of a scientific advisory entity,,"Haut Conseil des Biotechnologies, FRANCE, Paris",Member of the New Breeding Techniques Working Group. I participated as an external expert to the discussions on the status of New breeding technologies and participated to the drafting of an opinion to be presented to the HCB. I participated in 4 physical meetings in 2014,2013-11,now,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",III. Member of a scientific advisory entity,,"European Plant Science Organization (EPSO), Brussels, BELGIUM","The European Plant Science Organization, EPSO, is an independent academic organisation currently representing 72 institutional members bringing together more than 220 research institutes, departments and universities from 30 countries in Europe and beyond. As a Member of the Agricultural Technologies Working Group, my role is to draft opinion papers and documents on scientific issues related to the agricultural tecnologies field. 3-4 meetings per year.",2014-10,now,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",IV. Employment,,Consejo Superior Investigaciones Cientificas (CSIC),CSIC the biggest public research institution in Spain. Research group leader. Research activities in the field of plant genome characterisation and evolution.,1999-10,now,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",IX. Other relevant interest,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",V. Occasional consultancy,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",VI. Research funding,,Ministerio Educacion y Ciencia,Basic research on structure and evolution of plant genomes.,2010-01,2014-07,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",VI. Research funding,,Ministerio economía y competitividad,Basic research on plant genome structure and evolution,2014-01,now,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",VII. Intellectual property rights,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"CASACUBERTA, Josep",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"DE SCHRIJVER, Adinda",I. Economic interest,,,NO INTEREST,,,2015-09-29,GMO_doi_002.pdf
"DE SCHRIJVER, Adinda",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-29,GMO_doi_002.pdf
"DE SCHRIJVER, Adinda",III. Member of a scientific advisory entity,,"OECD, Organization for Economic Co-operation and Development, Organization for Economic Co-operation and Development, FRANCE, Paris",Representative of Belgium at the OECD Meetings of the Working Group on Harmonisation of Regulatory Oversight in Biotechnology,2002-01,now,2015-09-29,GMO_doi_002.pdf
"DE SCHRIJVER, Adinda",III. Member of a scientific advisory entity,,"OECD, Organization for Economic Co-operation and Development, Organization for Economic Co-operation and Development, FRANCE, Paris",Bureau Member of the OECD Working Group on Harmonisation in Regulatory Oversight in Biotechnology,2013-09,now,2015-09-29,GMO_doi_002.pdf
"DE SCHRIJVER, Adinda",IV. Employment,,Scientific Institute of Public Health,"Senior scientist of the Biosafety and Biotechnology Unit (SBB) of the Scientific Institute of Public Health (known as ""WIV-ISP""). The WIV- ISP provides support to the public health policy through scientific research and expert opinions. The SBB gives scientific support to the authorities of Belgium competent for GMOs and is the Secretariat of the Belgian Biosafety Advisory Council (BAC). The BAC comments on GMO dossiers during the evaluation periods and provides scientific advice on notifications for GMO field releases in Belgium and applications for placing GMOs on the European market. I’m not a voting member of the BAC, my main task is to provide scientific and technical support.",2002-03,now,2015-09-29,GMO_doi_002.pdf
"DE SCHRIJVER, Adinda",IX. Other relevant interest,,,NO INTEREST,,,2015-09-29,GMO_doi_002.pdf
"DE SCHRIJVER, Adinda",V. Occasional consultancy,,,NO INTEREST,,,2015-09-29,GMO_doi_002.pdf
