Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"ADRIAANSE, Paulien",I. Economic interest,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",III. Member of a scientific advisory entity,,"Ministerie van Economische Zaken (Ministry of EZ), Ministry of Economic Affairs, The Hague, NETHERLANDS",Dutch Workgroup on Guidance to derive Higher-tier Degradation Rates in Surface Water. I am the chair of a workgroup of Alterra-Ctgb (Board for the Authorization of PPPs and Biocides in NL) to derive degradation rates in water on the basis of (micro- or meso) coms. The workgroup started in 2014 and will continue to the end of 2015 or maybe even longer. Its intention is that the derived guidance will be implemented in the Dutch registration procedure. The envisaged output is a scientific report. My involvement in 2014 has been approximately 17 days; for 2015 this equals approximately 30 days. There is no financial compensation in my individual capacity.,2014-04,now,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",IV. Employment,,Alterra Wageningen UR,"Senior research scientist Behaviour of pesticides in surface waters, Alterra is a not for profit organisation and research institute which is part of Wageningen University and Research Centre. Its purpose is to conduct independent applied scientific research in the field of environmental sciences. In 2014, 44% of the funding of Alterra was provided by the Dutch Ministry of Economic Affairs, 11% by other Dutch ministries and Dutch provinces, 13% by the European Union, 6% by Water Boards and other local governmental organisations, 18% by the private sector and 8% by other organisations or entities. The ERA team of Alterra conducts scientific research and develops scientific methods related to the risk assessment of pesticides. Alterra as an organisation has not developed and published RA guidance or methodologies used in the regulatory process, but Alterra scientists (including myself) have developed and published methodologies and proposals for decision trees in the ERA of pesticides in co-operation with scientists from other institutes inside and outside the Netherlands. Alterra owns a suite of software and computational models that are used in the regulatory process in the Netherlands, the EU level and elsewhere in the world (including GeoPEARL, PEARL, TOXSWA, Top_Rice, DROPLET, MASTEP and PRIMET). Most of these tools are available via internet (always free of charge). part of these models are co-owned by the Dutch research institutes RIVM and PBL (e.g. GeoPEARL and PEARL). I was or am directly involved in the development of several models, e.g. TOXSWA, SWASH, DROPLET, Top_Rice and PRIMET. Alterra gives advice on scientific aspects of the risk assessment procedure to Dutch Ministries, regulatory authorities (e.g. the Ctgb, the Dutch Board for the Authorisation of Plant protection Products and Biocides) and agrochemical companies on an independent basis, and against funding. In addition, Alterra performs higher-tier micro- /mesocosm experiments under GLP. I am not involved in any national or international regulatory body as representative of my organisation or my country. Currently, I am not involved in any contract between Alterra and EFSA.",1992-08,now,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",IX. Other relevant interest,,Alterra Wageningen UR,"Development of software that is used for exposure assessment or risk assessment of pesticides in NL, at EU level or other countries. I am a member of the team that developed the TOXSWA, SWASH, DROPLET, TOP-Rice and PRIMET models.",1992-08,now,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",V. Occasional consultancy,,"CTB, Board for the authorisation of pesticides, NETHERLANDS, Wageningen","As an employee of Alterra I provided advice on how to interpret higher-tier studies for fate in surface waters for the Dutch Board for the Authorisation of Plant Protection Products and Biocides (Ctgb). This activity mainly concerns the interpretation of microcosm/mesocosm studies with respect to exposure and derivation of parameters describing the behaviour in surface water, such as e.g. the degradation rate. These independent expert opinions are often required by regulatory authorities. On an annual basis approximately 40 h (or less) of my time is involved in these activities. This activity does not entail financial compensation in my individual capacity",2008-02,now,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",VI. Research funding,,"Dutch Ministry of Economic Affairs, and Dutch Ministry of Foreign Affairs",These Dutch Ministries funded our research related to exposure assessment of pesticide in the environment including guidance development on various subjects. The deliverables are scientific reports or publications in scientific journals. More than 90% of my activities in the past five years were funded by these parts of the Dutch Government. Funding paid to my employer Alterra.,2002-07,now,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",VI. Research funding,,Dutch Government (Ministry of Foreign Affairs),"Pesticide Risk Reduction Programme Ethiopia. Development of a scientific evaluation system for the pesticide registration in Ethiopia (aspects of Efficacy, Human health and residues and Environment). About 620 k€ for this work package for 2010-2014. Total budget of PRRP-Ethiopia is 3.9 million € (2010-2014) financed by Ethiopian Ministry of Agriculture and Rural Development, FAO (465,000 USD) and Dutch Government (1,95 million €). Funding paid to my employer Alterra.",2010-01,now,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"ADRIAANSE, Paulien",X. Interests of close family members,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"BERNY, Philippe",I. Economic interest,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",IV. Employment,,Vetagro sup (VAS),"-VAS (Vetagro sup) is the new name for the College of Veterinary Medicine of Lyon, France. It is a college for veterinary education and veterinart research. It is a public institution. - VAS participates in the development of rodenticides with my research unit (financial support for 1 personnel) -VAS is not involved in regulatory assessment of PPP -VAS has not published RA guidance or methodologie for regulatory processes -VAS is not owner of software/computational models used in regulatory assessment of PPP. -VAS has no official capacity in Risk management I am professor of pharmacy and toxicology and head of the Basic Science Unit. As such, I am mostly involved in teaching veterinary pharmacy and toxicology but also in the research team dealing with resistance to rodenticides in rodents. My main area of research is terrestrial ecotoxicology, especially with rodenticides. Personnally, as an employee in VAS - I am involved in a research unit working on rodenticide resistance and we have grants from the Ministry of Education and Research as well as from Liphatech Inc. to work on new rodenticides (used as biocidal products). The deliverables include project reports, study reports and scientific publications. It is likely that some of the scientific findings may be used in the development of new rodenticides. - I have been involved personnally with the French commission for PPP registration from 1998 until 2009. It is now under the supervision of Anses and is the National French Agency for Food Safety and present at EU meetings on PPP - there is no contract between EFSA and VAS in which I could be involved. - I prepared a report for the EU commission, on behalf of VAS on risk mitigation measures for anticoagulant rodenticides (end of program in November 2014).",1993-10,now,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",IX. Other relevant interest,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",V. Occasional consultancy,,LIPHATECH,rodenticide efficacy evaluation : tests on wild strains of rodents for various developments of new rodenticidal products. Some reports have been used by Liphatech for inclusion in Annex III of biocidal directive (EU98/8),2002-01,2010-12,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",V. Occasional consultancy,,"Thérapeutique Vétérinaire Moderne (TVM), Lempdes, FRANCE","As a veterinary toxicologist I evaluated the safety dossier of EMEDOG, a veterinary drug for dogs to induce vomiting in case of accidental poisoning. This dossier was submitted and completed in December 2014. No more consultancy since then.",2014-01,2014-12,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",VI. Research funding,,Bayer cropsciences,"Research funding payed to the employer (Vetagro-sup : less than 0.1% of total income of the institution) : annual report of pesticide poisoning in domestic animals and wildlife with several pesticides (imidacloprid, deltamethrin, methiocarb) THe contract did not specify the intended use of these data but results were included in the Annex III dossier for France This contract ended in december 2010.",2003-01,2010-12,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",VI. Research funding,,Ministry of Education and Research (France),"Development of New rodenticides and rodent control strategies. Public funding attributed to Liphatech Inc. and Vetagro Sup (research unit), but no direct payment from Liphatech. Contract for 5 years.",2013-01,now,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",VI. Research funding,,Liphatech Inc,Research and development on currently available rodenticides. Field trials and cage trials for new formulations of rodenticides. Fundings covers expenses and is managed by a separate team (i.e. I am not involved in this work).,2013-01,now,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",VII. Intellectual property rights,,Liphatech,Pattent on a series of potential AVK for development as safer rodenticides. Included in the "inventors".,2010-02,now,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",VII. Intellectual property rights,,TVM,Publication of a booklet on Anticoagulant poisoning and treatment for veterinarians,2011-07,now,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BERNY, Philippe",X. Interests of close family members,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BROCK, Theodorus",I. Economic interest,,,NO INTEREST,,,2015-10-23,PPR_doi_002.pdf
"BROCK, Theodorus",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-23,PPR_doi_002.pdf
"BROCK, Theodorus",III. Member of a scientific advisory entity,,Dutch Ministry of Infrastructure and the Environment; RIVM,"Member of the Dutch scientific panel for the derivation of environmental quality standards of toxic substances, including plant protection products (INS) (1999 - present). The time involved in this activity is funded to Alterra by the Dutch Ministry of Economic Affairs. Financial compensation in my individual capacity does not occur. The adivice is based on consensus between panel members. Final decisions are taken by another panel of which I am not member and in which also risk managers participate. The time involved in this activity is approximately 3 to 5 days per year.",1999-01,now,2015-10-23,PPR_doi_002.pdf
"BROCK, Theodorus",III. Member of a scientific advisory entity,,"Dutch ministry of Economic Affairs, and Dutch Ministry of Infrastructure and the Environment",Dutch BBW Working Group Effect Assessment. In the period 2009 - 2013 I acted as chair of a Dutch scientific working group that developed decision trees for the effect assessment of plant protection products under Regulation 1107/2009 and the Water Framework Directive. These decision trees were developed for implementation in the Netherlands (by Ctgb). In 2012-start 2013 the draft decision trees were verified/calibrated with realistic data sets of selected pesticides. My involvement to this activity was on average 20 days per year (including writing activities). The output of the working group concerned scientific reports. This activity was funded to Alterra by the Dutch Ministry of Economic Affairs and financial compensation in my individual capacity was not the case. As chair of the WG I had the right to vote.,2009-01,2013-12,2015-10-23,PPR_doi_002.pdf
